,X,Y,Label_num,density
0,227,390,1,6.92578422604281
14,237,388,1,9.177225527461218
28,235,387,1,9.582021159996644
42,246,382,1,7.182823942471678
56,214,375,1,1.5875600003220056
70,235,385,1,9.909875384897552
84,264,407,1,0.31166764219033655
98,234,362,1,1.7018335930768833
112,234,400,1,3.0755579626651435
126,320,335,1,0.07216102574895837
140,240,385,1,9.39938693868926
154,146,335,1,0.036943354833421864
168,236,377,1,8.159396219791265
182,229,385,1,8.275358495905214
196,214,375,1,1.5875600003220056
210,226,387,1,6.9361764712257905
224,235,381,1,9.498791911485846
238,274,401,1,0.44520462081551565
252,243,382,1,8.51202063953293
266,223,386,1,5.569385772236987
280,200,386,1,0.597944707545825
294,236,388,1,9.265482996911363
308,225,370,1,2.852358434065905
322,227,400,1,3.0609038091263128
336,239,393,1,6.205131278243108
350,244,382,1,8.098538582705926
364,238,388,1,9.023356607382308
378,238,393,1,6.420948773546907
392,242,367,1,3.445933206821197
406,243,383,1,8.536762122206804
420,204,395,1,0.7506272469032463
434,319,380,1,0.09481294184233287
448,254,370,1,2.0695502172402476
462,206,388,1,1.0916693478271553
476,245,384,1,7.585731460461084
490,245,395,1,3.605474042012217
504,200,389,1,0.6301083524527675
518,240,387,1,8.904876236278447
532,230,395,1,5.632457946948149
546,239,397,1,3.9570785105843616
560,226,378,1,5.566430314333385
574,241,372,1,5.672143840455718
588,225,383,1,6.2404853741745425
602,239,385,1,9.642737930202689
616,227,381,1,6.786222772737396
630,233,383,1,9.497445596786706
644,201,377,1,0.38852317454592455
658,232,392,1,7.371097664257379
672,223,395,1,4.244577794696719
686,243,373,1,5.766829181511241
700,253,391,1,2.811489430402422
714,236,381,1,9.604930717405734
728,225,392,1,5.709932021921341
742,245,397,1,2.807514981236633
756,236,379,1,8.97783258189052
770,235,393,1,6.841211378329171
784,231,381,1,8.454413312486812
798,234,388,1,9.237042944735466
812,232,388,1,8.940709503098692
826,245,409,1,0.5610157362170427
840,233,395,1,5.760424767629633
854,235,391,1,7.962893563042721
868,237,380,1,9.366173265715405
882,234,385,1,9.791584284302461
896,232,393,1,6.85429614796645
910,243,394,1,4.5977945413911705
924,234,388,1,9.237042944735466
938,232,382,1,9.036871950926876
952,242,377,1,7.635725189980021
966,240,389,1,8.10295103127524
980,234,385,1,9.791584284302461
994,182,389,1,0.1353971894492604
1008,238,377,1,8.222958169054785
1022,236,382,1,9.818929990931505
1036,201,405,1,0.34494224261204565
1050,236,389,1,8.86915302178246
1064,252,366,1,1.719025302448911
1078,227,380,1,6.537961792690091
1092,232,386,1,9.296222500334869
1106,240,393,1,5.959611942700303
1120,237,387,1,9.513802928790076
1134,333,330,1,0.1312738188512707
1148,234,391,1,7.981939651309851
1162,244,379,1,7.628149263218558
1176,245,399,1,2.1318334545832016
1190,139,317,1,0.013154639779814452
1204,226,371,1,3.3713960716639013
1218,237,394,1,6.002812326744075
1232,241,391,1,6.7855328811531015
1246,233,371,1,4.915460836335175
1260,270,385,1,0.6065230859481371
1274,244,380,1,7.8498525650404805
1288,249,379,1,5.460671935679315
1302,242,381,1,8.763571373276973
1316,236,383,1,9.953179486137596
1330,199,390,1,0.5760913679622581
1344,247,383,1,6.690600391125991
1358,246,379,1,6.806909220550994
1372,259,395,1,1.2127015961937855
1386,229,386,1,8.276152470780255
1400,224,393,1,5.110073245566908
1414,233,384,1,9.591548396069166
1428,203,403,1,0.4348919924746134
1442,264,369,1,0.5929779641906175
1456,242,362,1,1.7961650175285933
1470,229,371,1,4.084489645217298
1484,232,395,1,5.756182171366649
1498,146,332,1,0.03766515749076325
1512,169,316,1,0.006126098440588918
1526,227,389,1,7.136228237045025
1540,226,389,1,6.73536531240555
1554,254,373,1,2.5621912508945957
1568,223,367,1,1.7844651940066865
1582,243,387,1,7.823787636858879
1596,231,393,1,6.763879647752458
1610,242,381,1,8.763571373276973
1624,233,372,1,5.369493344379471
1638,234,376,1,7.418167850509282
1652,250,382,1,5.248866997731322
1666,240,381,1,9.31222986736793
1680,340,321,1,0.0657185890562837
1694,210,390,1,1.5813471101153833
1708,238,365,1,2.809753833243747
1722,237,382,1,9.840730626169968
1736,335,350,1,0.06541709482550952
1750,228,398,1,3.982529986086536
1764,329,327,1,0.1218003406147875
1778,241,386,1,8.882228581996658
1792,247,385,1,6.481329071929808
1806,228,398,1,3.982529986086536
1820,217,386,1,3.2410743295495803
1834,230,366,1,2.510097712664093
1848,233,382,1,9.326911833196075
1862,229,369,1,3.352730194689476
1876,224,398,1,3.468029041808506
1890,237,383,1,9.959436790263116
1904,254,364,1,1.1303530235957817
1918,233,375,1,6.752032916629702
1932,244,387,1,7.396476192626026
1946,333,329,1,0.13458017491525334
1960,228,397,1,4.440123481538172
1974,243,392,1,5.6107925530773635
1988,216,378,1,2.3315893275218875
2002,245,389,1,6.2398309023469904
2016,253,389,1,3.223443493549874
2030,229,419,1,0.2827891398866665
2044,232,379,1,8.157623657504105
2058,223,400,1,2.661217733578048
2072,247,380,1,6.531771594359258
2086,219,392,1,3.6486874309929624
2100,238,391,1,7.577492207587676
2114,239,375,1,7.267235450853871
2128,253,386,1,3.704169260183851
2142,241,394,1,5.138229256391805
2156,217,375,1,2.1527861218125426
2170,229,393,1,6.4516686867135284
2184,248,390,1,4.667282370299855
2198,231,371,1,4.531218358896254
2212,238,394,1,5.826472962491556
2226,313,336,1,0.038749425733744104
2240,242,380,1,8.568972218396292
2254,238,380,1,9.341107343234956
2268,234,394,1,6.312870730333223
2282,233,377,1,7.641370212259181
2296,241,412,1,0.4718297065966771
2310,226,389,1,6.73536531240555
2324,236,383,1,9.953179486137596
2338,234,382,1,9.558031774695758
2352,215,404,1,0.9883560258021606
2366,245,386,1,7.227962175606176
2380,282,396,1,0.29701782980948993
2394,265,377,1,0.8092597173846945
2408,208,387,1,1.3248876671272116
2422,244,388,1,7.04918869686826
2436,231,378,1,7.463643622708528
2450,195,404,1,0.24681622018459573
2464,238,368,1,4.011905281999578
2478,239,385,1,9.642737930202689
2492,199,409,1,0.24846825119936183
2506,221,386,1,4.70330174548511
2520,236,395,1,5.547047123434641
2534,194,396,1,0.31487222335486703
2548,232,392,1,7.371097664257379
2562,232,380,1,8.49910883980591
2576,224,373,1,3.451666765397769
2590,238,380,1,9.341107343234956
2604,227,394,1,5.599960802322125
2618,221,385,1,4.658102769474667
2632,231,390,1,8.098593853812396
2646,241,386,1,8.882228581996658
2660,245,399,1,2.1318334545832016
2674,241,406,1,0.9591449404798805
2688,232,386,1,9.296222500334869
2702,263,388,1,1.2709006277058872
2716,230,382,1,8.31233735562417
2730,233,388,1,9.121019659316698
2744,328,318,1,0.03250241213990382
2758,230,399,1,3.629989292428283
2772,176,324,1,0.005944646625558155
2786,246,378,1,6.574137557302142
2800,241,383,1,9.256714541218397
2814,241,378,1,8.243247150014179
2828,242,375,1,6.83045199538163
2842,229,395,1,5.515573100826045
2856,230,412,1,0.6050381122442537
2870,349,306,1,0.0
2884,263,386,1,1.3106282297405878
2898,251,374,1,3.6530400516011765
2912,251,380,1,4.685858986881823
2926,218,389,1,3.5552346704645346
2940,239,380,1,9.245866294682873
2954,230,395,1,5.632457946948149
2968,219,381,1,3.5307388288024515
2982,230,394,1,6.1400462460682395
2996,233,390,1,8.400297485335587
3010,236,390,1,8.405556813450609
3024,243,381,1,8.408054124501513
3038,243,396,1,3.6388839498424126
3052,281,395,1,0.296938187552253
3066,243,372,1,5.34800942765116
3080,216,380,1,2.551800866484085
3094,259,420,1,0.06482581546492273
3108,220,395,1,3.4378864950321546
3122,246,364,1,2.0663572231579574
3136,240,377,1,8.04367685879619
3150,215,382,1,2.4738838155158773
3164,230,373,1,5.124909201287936
3178,235,375,1,7.117807353070595
3192,293,403,1,0.12179818742939859
3206,241,385,1,9.095505760825988
3220,252,370,1,2.5105967773274025
3234,236,380,1,9.32091550767554
3248,229,407,1,1.1334354485091218
3262,236,388,1,9.265482996911363
3276,203,398,1,0.5866471262052646
3290,231,391,1,7.701384674027729
